Time,Read rate for R04_n1,Usage for R04_n1,Write rate for R04_n1
2022-03-14T10:00:00.000Z,4611,9610,4998
2022-03-14T12:00:00.000Z,4658,10060,5401
2022-03-14T14:00:00.000Z,3138,12476,9337
2022-03-14T16:00:00.000Z,2506,4836,2329
2022-03-14T18:00:00.000Z,2288,4463,2173
2022-03-14T20:00:00.000Z,1925,3506,1580
2022-03-14T22:00:00.000Z,2295,4569,2273
2022-03-15T00:00:00.000Z,1700,3193,1492
2022-03-15T02:00:00.000Z,3545,8324,4778
2022-03-15T04:00:00.000Z,2828,5309,2480
2022-03-15T06:00:00.000Z,4301,9417,5115
2022-03-15T08:00:00.000Z,3331,8759,5427
2022-03-15T10:00:00.000Z,2476,7446,4969
2022-03-15T12:00:00.000Z,2748,5229,2480
2022-03-15T14:00:00.000Z,2707,6782,4074
2022-03-15T16:00:00.000Z,2298,5159,2860
2022-03-15T18:00:00.000Z,2937,5817,2879
2022-03-15T20:00:00.000Z,2142,4813,2670
2022-03-15T22:00:00.000Z,3059,6309,3249
2022-03-16T00:00:00.000Z,2495,5429,2933
2022-03-16T02:00:00.000Z,2524,5472,2947
2022-03-16T04:00:00.000Z,1540,3137,1596
2022-03-16T06:00:00.000Z,4062,8662,4599
2022-03-16T08:00:00.000Z,3359,7820,4461
2022-03-16T10:00:00.000Z,3355,12498,9142
2022-03-16T12:00:00.000Z,3492,9362,5869
2022-03-16T14:00:00.000Z,2253,7490,5237
2022-03-16T16:00:00.000Z,2595,6440,3844
2022-03-16T18:00:00.000Z,2852,5885,3033
2022-03-16T20:00:00.000Z,3803,8063,4259
2022-03-16T22:00:00.000Z,3709,8200,4491
2022-03-17T00:00:00.000Z,2406,5441,3034
2022-03-17T02:00:00.000Z,3497,7560,4062
2022-03-17T04:00:00.000Z,2056,4257,2200
2022-03-17T06:00:00.000Z,2983,5668,2684
2022-03-17T08:00:00.000Z,5482,12195,6712
2022-03-17T10:00:00.000Z,2933,6011,3078
2022-03-17T12:00:00.000Z,6140,16004,9863
2022-03-17T14:00:00.000Z,3946,9564,5617
2022-03-17T16:00:00.000Z,1788,3479,1690
2022-03-17T18:00:00.000Z,2193,4207,2013
2022-03-17T20:00:00.000Z,1758,3474,1715
2022-03-17T22:00:00.000Z,3679,8247,4567
2022-03-18T00:00:00.000Z,2718,7359,4641
2022-03-18T02:00:00.000Z,5137,13013,7875
2022-03-18T04:00:00.000Z,2248,4582,2334
2022-03-18T06:00:00.000Z,2590,5013,2423
2022-03-18T08:00:00.000Z,4036,8160,4124
2022-03-18T10:00:00.000Z,3947,7863,3915
2022-03-18T12:00:00.000Z,2801,5046,2245
2022-03-18T14:00:00.000Z,7380,27838,20458
2022-03-18T16:00:00.000Z,12690,25197,12507
2022-03-18T18:00:00.000Z,2333,4541,2207
2022-03-18T20:00:00.000Z,2415,4969,2553
2022-03-18T22:00:00.000Z,2965,6303,3337
2022-03-19T00:00:00.000Z,3040,7232,4192
2022-03-19T02:00:00.000Z,22824,64499,41674
2022-03-19T04:00:00.000Z,7835,18732,10896
2022-03-19T06:00:00.000Z,12061,44515,32453
2022-03-19T08:00:00.000Z,14423,29811,15387
2022-03-19T10:00:00.000Z,2395,5166,2769
2022-03-19T12:00:00.000Z,2987,6199,3210
2022-03-19T14:00:00.000Z,2633,5853,3219
2022-03-19T16:00:00.000Z,1781,3438,1657
2022-03-19T18:00:00.000Z,1704,3414,1710
2022-03-19T20:00:00.000Z,1988,3885,1896
2022-03-19T22:00:00.000Z,1905,4080,2174
2022-03-20T00:00:00.000Z,1538,2872,1334
2022-03-20T02:00:00.000Z,2417,5194,2776
2022-03-20T04:00:00.000Z,2061,4020,1957
2022-03-20T06:00:00.000Z,1619,3252,1632
2022-03-20T08:00:00.000Z,1659,3108,1449
2022-03-20T10:00:00.000Z,1481,2821,1340
2022-03-20T12:00:00.000Z,1972,4114,2141
2022-03-20T14:00:00.000Z,2746,6070,3324
2022-03-20T16:00:00.000Z,2017,3991,1973
2022-03-20T18:00:00.000Z,2398,4834,2435
2022-03-20T20:00:00.000Z,2358,4799,2440
2022-03-20T22:00:00.000Z,2581,5101,2519
2022-03-21T00:00:00.000Z,1789,3864,2075
2022-03-21T02:00:00.000Z,2841,6244,3402
2022-03-21T04:00:00.000Z,1831,3801,1969
2022-03-21T06:00:00.000Z,2356,4377,2020
2022-03-21T08:00:00.000Z,2649,4749,2099
2022-03-21T10:00:00.000Z,5247,11004,5756
2022-03-21T12:00:00.000Z,5997,12156,6158
2022-03-21T14:00:00.000Z,6151,13171,7020
2022-03-21T16:00:00.000Z,3101,6259,3157
2022-03-21T18:00:00.000Z,2389,4655,2266
2022-03-21T20:00:00.000Z,2618,5405,2786
2022-03-21T22:00:00.000Z,2720,5235,2514
2022-03-22T00:00:00.000Z,2486,5484,2997
2022-03-22T02:00:00.000Z,3078,5781,2702
2022-03-22T04:00:00.000Z,2069,4275,2205
2022-03-22T06:00:00.000Z,4025,9237,5211
2022-03-22T08:00:00.000Z,5685,12506,6820
2022-03-22T10:00:00.000Z,3511,6154,2643
2022-03-22T12:00:00.000Z,4633,9135,4501
2022-03-22T14:00:00.000Z,5211,11331,6119
2022-03-22T16:00:00.000Z,3779,7693,3913
2022-03-22T18:00:00.000Z,3213,6578,3365
2022-03-22T20:00:00.000Z,3107,6435,3327
2022-03-22T22:00:00.000Z,3192,6542,3350
2022-03-23T00:00:00.000Z,3409,7936,4526
2022-03-23T02:00:00.000Z,2981,6255,3273
2022-03-23T04:00:00.000Z,2447,5467,3020
2022-03-23T06:00:00.000Z,3465,7245,3778
2022-03-23T08:00:00.000Z,3421,6709,3288
2022-03-23T10:00:00.000Z,3185,5615,2430
2022-03-23T12:00:00.000Z,3910,7996,4086
2022-03-23T14:00:00.000Z,4414,9381,4967
2022-03-23T16:00:00.000Z,3215,6839,3623
2022-03-23T18:00:00.000Z,2665,5312,2646
2022-03-23T20:00:00.000Z,2697,5481,2784
2022-03-23T22:00:00.000Z,2761,5540,2779
2022-03-24T00:00:00.000Z,3997,8751,4753
2022-03-24T02:00:00.000Z,1771,3387,1615
2022-03-24T04:00:00.000Z,1809,3960,2150
2022-03-24T06:00:00.000Z,3097,6557,3460
2022-03-24T08:00:00.000Z,2948,5795,2846
2022-03-24T10:00:00.000Z,5344,11673,6329
2022-03-24T12:00:00.000Z,5609,14474,8864
2022-03-24T14:00:00.000Z,4709,10652,5942
2022-03-24T16:00:00.000Z,2730,5596,2866
2022-03-24T18:00:00.000Z,3080,6506,3426
2022-03-24T20:00:00.000Z,2168,4816,2647
2022-03-24T22:00:00.000Z,3051,6801,3749
2022-03-25T00:00:00.000Z,3449,7640,4190
2022-03-25T02:00:00.000Z,2748,5926,3177
2022-03-25T04:00:00.000Z,2125,4629,2504
2022-03-25T06:00:00.000Z,4318,9821,5503
2022-03-25T08:00:00.000Z,3747,8575,4828
2022-03-25T10:00:00.000Z,4874,9644,4770
2022-03-25T12:00:00.000Z,3386,6992,3605
2022-03-25T14:00:00.000Z,4365,9823,5457
2022-03-25T16:00:00.000Z,2071,4104,2032
2022-03-25T18:00:00.000Z,2424,5168,2744
2022-03-25T20:00:00.000Z,2224,4975,2751
2022-03-25T22:00:00.000Z,1736,3522,1786
2022-03-26T00:00:00.000Z,1969,3837,1867
2022-03-26T02:00:00.000Z,2981,6726,3744
2022-03-26T04:00:00.000Z,2317,7467,5149
2022-03-26T06:00:00.000Z,16610,33288,16677
2022-03-26T08:00:00.000Z,2261,4741,2479
2022-03-26T10:00:00.000Z,2087,4305,2217
2022-03-26T12:00:00.000Z,2394,5247,2852
2022-03-26T14:00:00.000Z,2033,4016,1981
2022-03-26T16:00:00.000Z,2086,4194,2107
2022-03-26T18:00:00.000Z,2036,4340,2303
2022-03-26T20:00:00.000Z,2456,5704,3247
2022-03-26T22:00:00.000Z,3039,5910,2870
2022-03-27T00:00:00.000Z,2480,6791,4309
2022-03-27T02:00:00.000Z,2319,4749,2429
2022-03-27T04:00:00.000Z,1633,3313,1679
2022-03-27T06:00:00.000Z,2435,4621,2185
2022-03-27T08:00:00.000Z,2438,6600,4161
2022-03-27T10:00:00.000Z,1688,3042,1353
2022-03-27T12:00:00.000Z,5315,13816,8500
2022-03-27T14:00:00.000Z,3343,9896,6552
2022-03-27T16:00:00.000Z,5099,12672,7573
2022-03-27T18:00:00.000Z,2550,6048,3497
2022-03-27T20:00:00.000Z,1830,3398,1568
2022-03-27T22:00:00.000Z,2419,4935,2515
2022-03-28T00:00:00.000Z,1831,3637,1805
2022-03-28T02:00:00.000Z,5388,11958,6569
2022-03-28T04:00:00.000Z,4124,10547,6422
2022-03-28T06:00:00.000Z,3306,7412,4106
2022-03-28T08:00:00.000Z,6938,16755,9817
2022-03-28T10:00:00.000Z,5644,13803,8158
2022-03-28T12:00:00.000Z,6751,15470,8718
2022-03-28T14:00:00.000Z,3680,8722,5041
2022-03-28T16:00:00.000Z,2911,6355,3444
2022-03-28T18:00:00.000Z,3850,8537,4685
2022-03-28T20:00:00.000Z,5236,13510,8273
2022-03-28T22:00:00.000Z,1771,3253,1481
2022-03-29T00:00:00.000Z,2163,4176,2012
2022-03-29T02:00:00.000Z,3909,7490,3580
2022-03-29T04:00:00.000Z,2719,6365,3645
2022-03-29T06:00:00.000Z,4263,12139,7875
2022-03-29T08:00:00.000Z,5746,12412,6665
2022-03-29T10:00:00.000Z,3606,6587,2981
2022-03-29T12:00:00.000Z,6593,15605,9011
2022-03-29T14:00:00.000Z,2301,4013,1711
2022-03-29T16:00:00.000Z,5554,13154,7599
2022-03-29T18:00:00.000Z,1638,3412,1772
2022-03-29T20:00:00.000Z,1958,3540,1582
2022-03-29T22:00:00.000Z,3723,8075,4351
2022-03-30T00:00:00.000Z,2236,4258,2021
2022-03-30T02:00:00.000Z,3391,8189,4797
2022-03-30T04:00:00.000Z,5658,14864,9205
2022-03-30T06:00:00.000Z,6757,13277,6520
2022-03-30T08:00:00.000Z,8550,21684,13133
2022-03-30T10:00:00.000Z,8593,20103,11509
2022-03-30T12:00:00.000Z,7005,16478,9472
2022-03-30T14:00:00.000Z,2500,5792,3291
2022-03-30T16:00:00.000Z,1963,3324,1360
2022-03-30T18:00:00.000Z,2838,5908,3070
2022-03-30T20:00:00.000Z,5284,12918,7634
2022-03-30T22:00:00.000Z,5597,13295,7697
2022-03-31T00:00:00.000Z,2705,5934,3228
2022-03-31T02:00:00.000Z,3224,6778,3553
2022-03-31T04:00:00.000Z,3819,8964,5145
2022-03-31T06:00:00.000Z,5978,13157,7178
2022-03-31T08:00:00.000Z,6231,13300,7069
2022-03-31T10:00:00.000Z,6397,15084,8686
2022-03-31T12:00:00.000Z,5775,13094,7318
2022-03-31T14:00:00.000Z,3232,7142,3909
2022-03-31T16:00:00.000Z,27862,29386,1523
2022-03-31T18:00:00.000Z,52638,54152,1513
2022-03-31T20:00:00.000Z,52117,53656,1538
2022-03-31T22:00:00.000Z,44135,45919,1784
2022-04-01T00:00:00.000Z,45915,48363,2447
2022-04-01T02:00:00.000Z,49979,52741,2762
2022-04-01T04:00:00.000Z,49264,51980,2715
2022-04-01T06:00:00.000Z,50379,53392,3012
2022-04-01T08:00:00.000Z,96194,99524,3329
2022-04-01T10:00:00.000Z,3805,6357,2551
2022-04-01T12:00:00.000Z,2422,4296,1874
2022-04-01T14:00:00.000Z,2067,3703,1636
2022-04-01T16:00:00.000Z,1667,3007,1338
2022-04-01T18:00:00.000Z,1562,2824,1261
2022-04-01T20:00:00.000Z,1564,2936,1371
2022-04-01T22:00:00.000Z,2433,4465,2031
2022-04-02T00:00:00.000Z,1786,3692,1905
2022-04-02T02:00:00.000Z,1923,3940,2016
2022-04-02T04:00:00.000Z,1842,7322,5479
2022-04-02T06:00:00.000Z,19379,38944,19565
2022-04-02T08:00:00.000Z,2498,5274,2774
2022-04-02T10:00:00.000Z,1878,4129,2250
2022-04-02T12:00:00.000Z,1773,3370,1597
2022-04-02T14:00:00.000Z,2139,4443,2303
2022-04-02T16:00:00.000Z,2815,5897,3082
2022-04-02T18:00:00.000Z,3101,6359,3258
2022-04-02T20:00:00.000Z,1948,3617,1668
2022-04-02T22:00:00.000Z,2143,4442,2299
2022-04-03T00:00:00.000Z,3806,9149,5342
2022-04-03T02:00:00.000Z,2170,4504,2333
2022-04-03T04:00:00.000Z,2728,5743,3014
2022-04-03T06:00:00.000Z,3024,6937,3912
2022-04-03T08:00:00.000Z,3300,7557,4256
2022-04-03T10:00:00.000Z,2676,5796,3120
2022-04-03T12:00:00.000Z,1751,3367,1615
2022-04-03T14:00:00.000Z,1909,3720,1810
2022-04-03T16:00:00.000Z,2848,6242,3394
2022-04-03T18:00:00.000Z,3684,7905,4220
2022-04-03T20:00:00.000Z,3568,7843,4274
2022-04-03T22:00:00.000Z,5008,10852,5843
2022-04-04T00:00:00.000Z,3660,7996,4336
2022-04-04T02:00:00.000Z,2279,5181,2901
2022-04-04T04:00:00.000Z,2005,4030,2024
2022-04-04T06:00:00.000Z,2570,4715,2144
2022-04-04T08:00:00.000Z,8128,18260,10131
2022-04-04T10:00:00.000Z,8340,19762,11421
2022-04-04T12:00:00.000Z,3130,6361,3231
2022-04-04T14:00:00.000Z,3582,12984,9401
2022-04-04T16:00:00.000Z,2161,4044,1882
2022-04-04T18:00:00.000Z,2546,5015,2469
2022-04-04T20:00:00.000Z,2756,5676,2919
2022-04-04T22:00:00.000Z,2562,5083,2519
2022-04-05T00:00:00.000Z,2379,5413,3033
2022-04-05T02:00:00.000Z,3009,5688,2678
2022-04-05T04:00:00.000Z,1896,3973,2076
2022-04-05T06:00:00.000Z,3622,7810,4187
2022-04-05T08:00:00.000Z,3378,6566,3188
2022-04-05T10:00:00.000Z,4060,8624,4564
2022-04-05T12:00:00.000Z,3223,6269,3046
2022-04-05T14:00:00.000Z,2425,4768,2343
2022-04-05T16:00:00.000Z,2623,5124,2500
2022-04-05T18:00:00.000Z,2213,4108,1893
2022-04-05T20:00:00.000Z,2390,4337,1947
2022-04-05T22:00:00.000Z,3306,6741,3434
2022-04-06T00:00:00.000Z,2552,5396,2843
2022-04-06T02:00:00.000Z,3300,6366,3066
2022-04-06T04:00:00.000Z,2186,4271,2084
2022-04-06T06:00:00.000Z,3123,7208,4085
2022-04-06T08:00:00.000Z,2563,4368,1805
2022-04-06T10:00:00.000Z,3466,9039,5573
2022-04-06T12:00:00.000Z,4108,7340,3231
2022-04-06T14:00:00.000Z,6292,14953,8661
2022-04-06T16:00:00.000Z,2128,3621,1492
2022-04-06T18:00:00.000Z,2274,4103,1829
2022-04-06T20:00:00.000Z,2565,5265,2700
2022-04-06T22:00:00.000Z,3252,7459,4206
2022-04-07T00:00:00.000Z,2647,5909,3261
2022-04-07T02:00:00.000Z,2272,4784,2512
2022-04-07T04:00:00.000Z,2202,4698,2495
2022-04-07T06:00:00.000Z,3291,7032,3740
2022-04-07T08:00:00.000Z,4298,8849,4551
2022-04-07T10:00:00.000Z,7084,15768,8683
2022-04-07T12:00:00.000Z,5092,11033,5940
2022-04-07T14:00:00.000Z,2931,5707,2775
2022-04-07T16:00:00.000Z,2894,5701,2807
2022-04-07T18:00:00.000Z,3446,6796,3350
2022-04-07T20:00:00.000Z,1741,3273,1531
2022-04-07T22:00:00.000Z,2188,4511,2322
2022-04-08T00:00:00.000Z,2504,5064,2559
2022-04-08T02:00:00.000Z,2667,5642,2974
2022-04-08T04:00:00.000Z,2427,5102,2674
2022-04-08T06:00:00.000Z,3269,6553,3283
2022-04-08T08:00:00.000Z,4625,9802,5177
2022-04-08T10:00:00.000Z,5812,12822,7009
2022-04-08T12:00:00.000Z,5361,11623,6261
2022-04-08T14:00:00.000Z,2575,5307,2731
2022-04-08T16:00:00.000Z,2410,4504,2093
2022-04-08T18:00:00.000Z,1810,3739,1929
2022-04-08T20:00:00.000Z,1598,2892,1293
2022-04-08T22:00:00.000Z,2483,5417,2933
2022-04-09T00:00:00.000Z,10163,31502,21338
2022-04-09T02:00:00.000Z,2201,4250,2049
2022-04-09T04:00:00.000Z,1882,3764,1882
2022-04-09T06:00:00.000Z,1788,7101,5312
2022-04-09T08:00:00.000Z,3474,6935,3460
2022-04-09T10:00:00.000Z,16074,32586,16511
2022-04-09T12:00:00.000Z,2481,5217,2735
2022-04-09T14:00:00.000Z,1872,3899,2026
2022-04-09T16:00:00.000Z,1802,3546,1744
2022-04-09T18:00:00.000Z,2071,4073,2001
2022-04-09T20:00:00.000Z,1704,3189,1484
2022-04-09T22:00:00.000Z,2292,5512,3219
2022-04-10T00:00:00.000Z,1803,3534,1731
2022-04-10T02:00:00.000Z,2153,4271,2117
2022-04-10T04:00:00.000Z,1694,3385,1690
2022-04-10T06:00:00.000Z,1645,3154,1509
2022-04-10T08:00:00.000Z,2272,4522,2249
2022-04-10T10:00:00.000Z,2827,5821,2993
2022-04-10T12:00:00.000Z,2916,6275,3358
2022-04-10T14:00:00.000Z,1824,3956,2131
2022-04-10T16:00:00.000Z,2034,4370,2336
2022-04-10T18:00:00.000Z,1792,3647,1854
2022-04-10T20:00:00.000Z,1989,3787,1798
2022-04-10T22:00:00.000Z,3145,6778,3633
2022-04-11T00:00:00.000Z,2528,5589,3061
2022-04-11T02:00:00.000Z,2098,4538,2439
2022-04-11T04:00:00.000Z,2279,4642,2362
2022-04-11T06:00:00.000Z,3093,6117,3024
2022-04-11T08:00:00.000Z,3565,6865,3300
2022-04-11T10:00:00.000Z,3365,6292,2926
2022-04-11T12:00:00.000Z,5497,11231,5734
2022-04-11T14:00:00.000Z,3796,7519,3723
2022-04-11T16:00:00.000Z,3346,7314,3967
2022-04-11T18:00:00.000Z,3041,5828,2786
2022-04-11T20:00:00.000Z,2707,5122,2413
2022-04-11T22:00:00.000Z,2646,5617,2970
2022-04-12T00:00:00.000Z,2699,5629,2930
2022-04-12T02:00:00.000Z,3334,6255,2921
2022-04-12T04:00:00.000Z,3319,6769,3449
2022-04-12T06:00:00.000Z,4149,9388,5237
2022-04-12T08:00:00.000Z,5259,10720,5460
2022-04-12T10:00:00.000Z,5279,11037,5757
2022-04-12T12:00:00.000Z,3214,6778,3564
2022-04-12T14:00:00.000Z,2558,5033,2475
2022-04-12T16:00:00.000Z,1589,2814,1224
2022-04-12T18:00:00.000Z,2085,4093,2007
2022-04-12T20:00:00.000Z,2049,3880,1829
2022-04-12T22:00:00.000Z,2279,4400,2120
2022-04-13T00:00:00.000Z,1585,2899,1314
2022-04-13T02:00:00.000Z,2282,4390,2107
2022-04-13T04:00:00.000Z,10221,11533,1311
2022-04-13T06:00:00.000Z,,,
2022-04-13T08:00:00.000Z,,,
